0,Can you tell me about it
0,When should one use it 
0,Who is it for 
0,Who should take it
0,It is used for what
0,When should one take it
0,What is it 
1,Why should one take it
1,Advantages of using it
1,Advantages of it
1,What does it help with 
1,Tell me about it’s benefits
1,How it is beneficial  
1,What are the benefits of it  
1,How is it better than its competitors  
2,What does it taste like  
2,it flavours  
2,Is it tasty  
2,Describe the taste of it  
2,What flavours does it come in  
3,What is the margin on it  
3,Price to retail of it  
3,What is the PTR on it  
3,How much does it cost  
3,Price of it  
3,What is the MRP on it  
4,Different types of it  
4,What are the key SKUs of it  
4,What are the key packs of it  
4,it types  
4,Variants of it  
4,What are the key types of it  
5,How much to take it
5,How much it should one take in a day  
5,Daily dosage of it  
5,Best time to take it  
5,At what time should I take it  
5,it before Dinner  
5,How many times can one take it in a day  
6,Can it be taken with juice
6,What to take it with  
6,How to consume it  
6,Proper way to take it  
6,What is the right way to consume it  
6,Ideal way to take it
7,When should one not take it  
7,Who is it not for  
7,Who cannot take it
7,Who should not take it  
7,Who should take it
7,Can small kids take it
7,Can children take it
7,Who can take it
7,it is for children of which age   
7,At what age should I take it  
7,"I am 15 years old , Can I take it  "
7,it is Suitable for what age group  
7,Right age to take it  
7,it is for which age groups  
8,What is there in it
8,How it affects your body
8,How does it work
8,What is inside it  
8,Vitamins in it  
8,Ingredients in it
8,Various Contents of it  
8,Proteins in it  
8,How does it work  
8,What are the ingredients of it  
9,Is it an Ayurvedic product  
9,Is it a medicated product  
9,Is it veg  
9,Is it a vegetarian or non vegetarian product  
9,Can I drink it if I am vegetarian  
9,Is it a vegetarian product  
11,"Which is better, eno or eno cooling"
11,Eno versus Eno cooling
11,How is it eno different from eno cooling
11,Tell me about eno cooling
11,What is Eno cooling
11,What is fast cooling techonology
11,Benefits of Eno cooling
12,What does Eno cooling taste like  
12,Eno cooling flavours  
12,Is Eno cooling tasty  
12,Describe the taste of Eno cooling
12,What flavours does Eno cooling come in  
12,What are the SKUs of Eno Cooling
13,When does it expire  
13,"After how many months from manufacturing , does it expires  "
13,How long after manufacturing it expires  
13,it is valid for how many months  
13,For how long can I use it  
13,What is the expiry date of it  
14,Competitors of it  
14,Products like it  
14,Who are it competitors  
14,Main competitors of it
15,Can I take it without prescription from Doctor  
15,"I dont have a prescription , can I take it  "
15,Can I take it without a prescription  
15,Does it require a prescription  
16,"My stomach hurts,is it acidity"
16,Symptoms of acidity
16,Tell me about acidity
16,How do i know i have acidity
16,What is acidity
17,What causes acidity
17,Why do I acidity
17,Eating what can cause acidity
17,What types of food causes acidity
17,How can I avoid acidity
18,Is it a GSK product  
18,Category of it  
18,Which GSK category does it come in  
19,Can you take it for stomach pain
19,Will it help with stomach ache
19,Should i take it for stomach pain
19,"I have stomach pain, can I take it"
19,Can it decrease my stomach pain
